PS C:\> netstat -an

Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING
  TCP    192.168.30.101:139     0.0.0.0:0              LISTENING
  TCP    192.168.30.101:23453   192.168.10.14:445      ESTABLISHED
  TCP    192.168.30.101:23454   192.168.10.15:443      ESTABLISHED
  TCP    192.168.30.101:23455   140.112.72.205:22      ESTABLISHED
  TCP    [::]:135               [::]:0                 LISTENING
  TCP    [::]:445               [::]:0                 LISTENING
  UDP    0.0.0.0:53             *:*
