PS C:\> netstat -an

Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING
  TCP    192.168.20.100:139     0.0.0.0:0              LISTENING
  TCP    192.168.20.100:23452   91.189.88.174:21       ESTABLISHED
  TCP    192.168.20.100:23453   94.142.241.111:23      ESTABLISHED
  TCP    192.168.20.100:23454   192.168.10.10:445      ESTABLISHED
  TCP    192.168.20.100:23455   192.168.10.13:445      ESTABLISHED
  TCP    [::]:135               [::]:0                 LISTENING
  TCP    [::]:445               [::]:0                 LISTENING
  UDP    0.0.0.0:53             *:*
